2014-11-28 18:30:25
Student List:
Visual: 		 lambda:0.91 <0, 0, 0, 0, 0>	probability: 0.200000
Non-Visual: 	 lambda:1.28 <0, 3, 0, 1, 1>	probability: 0.400000
Independant: 	 lambda:1.08 <2, 2, 0, 1, 0>	probability: 0.200000
Dependant: 		 lambda:0.89 <1, 2, 1, 1, 1>	probability: 0.200000
Running sequential-halving algorithm bounded by 100000 pulls...

--- Sequential Halving ---
ARM: <0, 0, 0, 0, 0>	CONFIGMU: 0.422813	DELTA: 0.290888
ARM: <0, 0, 0, 0, 0>	CONFIGMU: 0.422813	DELTA: 0.290888
ARM: <0, 0, 0, 0, 0>	CONFIGMU: 0.422813	DELTA: 0.290888
ARM: <0, 0, 0, 0, 1>	CONFIGMU: 0.425197	DELTA: 0.288505
ARM: <0, 0, 0, 0, 1>	CONFIGMU: 0.425197	DELTA: 0.288505
ARM: <0, 0, 0, 0, 1>	CONFIGMU: 0.425197	DELTA: 0.288505
ARM: <0, 0, 0, 1, 0>	CONFIGMU: 0.514763	DELTA: 0.198938
ARM: <0, 0, 0, 1, 0>	CONFIGMU: 0.514763	DELTA: 0.198938
ARM: <0, 0, 0, 1, 0>	CONFIGMU: 0.514763	DELTA: 0.198938
ARM: <0, 0, 0, 1, 1>	CONFIGMU: 0.605442	DELTA: 0.108259
ARM: <0, 0, 0, 1, 1>	CONFIGMU: 0.605442	DELTA: 0.108259
ARM: <0, 0, 0, 1, 1>	CONFIGMU: 0.605442	DELTA: 0.108259
ARM: <0, 0, 1, 0, 0>	CONFIGMU: 0.407545	DELTA: 0.306156
ARM: <0, 0, 1, 0, 0>	CONFIGMU: 0.407545	DELTA: 0.306156
ARM: <0, 0, 1, 0, 0>	CONFIGMU: 0.407545	DELTA: 0.306156
ARM: <0, 0, 1, 0, 1>	CONFIGMU: 0.411957	DELTA: 0.301744
ARM: <0, 0, 1, 0, 1>	CONFIGMU: 0.411957	DELTA: 0.301744
ARM: <0, 0, 1, 0, 1>	CONFIGMU: 0.411957	DELTA: 0.301744
ARM: <0, 0, 1, 1, 0>	CONFIGMU: 0.496806	DELTA: 0.216896
ARM: <0, 0, 1, 1, 0>	CONFIGMU: 0.496806	DELTA: 0.216896
ARM: <0, 0, 1, 1, 0>	CONFIGMU: 0.496806	DELTA: 0.216896
ARM: <0, 0, 1, 1, 1>	CONFIGMU: 0.586414	DELTA: 0.127287
ARM: <0, 0, 1, 1, 1>	CONFIGMU: 0.586414	DELTA: 0.127287
ARM: <0, 0, 1, 1, 1>	CONFIGMU: 0.586414	DELTA: 0.127287
ARM: <0, 1, 0, 0, 0>	CONFIGMU: 0.429360	DELTA: 0.284341
ARM: <0, 1, 0, 0, 0>	CONFIGMU: 0.429360	DELTA: 0.284341
ARM: <0, 1, 0, 0, 0>	CONFIGMU: 0.429360	DELTA: 0.284341
ARM: <0, 1, 0, 0, 1>	CONFIGMU: 0.444362	DELTA: 0.269339
ARM: <0, 1, 0, 0, 1>	CONFIGMU: 0.444362	DELTA: 0.269339
ARM: <0, 1, 0, 0, 1>	CONFIGMU: 0.444362	DELTA: 0.269339
ARM: <0, 1, 0, 1, 0>	CONFIGMU: 0.542031	DELTA: 0.171670
ARM: <0, 1, 0, 1, 0>	CONFIGMU: 0.542031	DELTA: 0.171670
ARM: <0, 1, 0, 1, 0>	CONFIGMU: 0.542031	DELTA: 0.171670
ARM: <0, 1, 0, 1, 1>	CONFIGMU: 0.649853	DELTA: 0.063848
ARM: <0, 1, 0, 1, 1>	CONFIGMU: 0.649853	DELTA: 0.063848
ARM: <0, 1, 0, 1, 1>	CONFIGMU: 0.649853	DELTA: 0.063848
ARM: <0, 1, 1, 0, 0>	CONFIGMU: 0.414001	DELTA: 0.299700
ARM: <0, 1, 1, 0, 0>	CONFIGMU: 0.414001	DELTA: 0.299700
ARM: <0, 1, 1, 0, 0>	CONFIGMU: 0.414001	DELTA: 0.299700
ARM: <0, 1, 1, 0, 1>	CONFIGMU: 0.430592	DELTA: 0.283109
ARM: <0, 1, 1, 0, 1>	CONFIGMU: 0.430592	DELTA: 0.283109
ARM: <0, 1, 1, 0, 1>	CONFIGMU: 0.430592	DELTA: 0.283109
ARM: <0, 1, 1, 1, 0>	CONFIGMU: 0.523115	DELTA: 0.190586
ARM: <0, 1, 1, 1, 0>	CONFIGMU: 0.523115	DELTA: 0.190586
ARM: <0, 1, 1, 1, 0>	CONFIGMU: 0.523115	DELTA: 0.190586
ARM: <0, 1, 1, 1, 1>	CONFIGMU: 0.629251	DELTA: 0.084450
ARM: <0, 1, 1, 1, 1>	CONFIGMU: 0.629251	DELTA: 0.084450
ARM: <0, 1, 1, 1, 1>	CONFIGMU: 0.629251	DELTA: 0.084450
ARM: <0, 2, 0, 0, 0>	CONFIGMU: 0.438823	DELTA: 0.274878
ARM: <0, 2, 0, 0, 0>	CONFIGMU: 0.438823	DELTA: 0.274878
ARM: <0, 2, 0, 0, 0>	CONFIGMU: 0.438823	DELTA: 0.274878
ARM: <0, 2, 0, 0, 1>	CONFIGMU: 0.466860	DELTA: 0.246841
ARM: <0, 2, 0, 0, 1>	CONFIGMU: 0.466860	DELTA: 0.246841
ARM: <0, 2, 0, 0, 1>	CONFIGMU: 0.466860	DELTA: 0.246841
ARM: <0, 2, 0, 1, 0>	CONFIGMU: 0.573363	DELTA: 0.140338
ARM: <0, 2, 0, 1, 0>	CONFIGMU: 0.573363	DELTA: 0.140338
ARM: <0, 2, 0, 1, 0>	CONFIGMU: 0.573363	DELTA: 0.140338
ARM: <0, 2, 0, 1, 1>	CONFIGMU: 0.699550	DELTA: 0.014151
ARM: <0, 2, 0, 1, 1>	CONFIGMU: 0.699550	DELTA: 0.014151
ARM: <0, 2, 0, 1, 1>	CONFIGMU: 0.699550	DELTA: 0.014151
ARM: <0, 2, 1, 0, 0>	CONFIGMU: 0.423253	DELTA: 0.290448
ARM: <0, 2, 1, 0, 0>	CONFIGMU: 0.423253	DELTA: 0.290448
ARM: <0, 2, 1, 0, 0>	CONFIGMU: 0.423253	DELTA: 0.290448
ARM: <0, 2, 1, 0, 1>	CONFIGMU: 0.452424	DELTA: 0.261277
ARM: <0, 2, 1, 0, 1>	CONFIGMU: 0.452424	DELTA: 0.261277
ARM: <0, 2, 1, 0, 1>	CONFIGMU: 0.452424	DELTA: 0.261277
ARM: <0, 2, 1, 1, 0>	CONFIGMU: 0.553317	DELTA: 0.160385
ARM: <0, 2, 1, 1, 0>	CONFIGMU: 0.553317	DELTA: 0.160385
ARM: <0, 2, 1, 1, 0>	CONFIGMU: 0.553317	DELTA: 0.160385
ARM: <0, 2, 1, 1, 1>	CONFIGMU: 0.677150	DELTA: 0.036551
ARM: <0, 2, 1, 1, 1>	CONFIGMU: 0.677150	DELTA: 0.036551
ARM: <0, 2, 1, 1, 1>	CONFIGMU: 0.677150	DELTA: 0.036551
ARM: <0, 3, 0, 0, 0>	CONFIGMU: 0.424824	DELTA: 0.288877
ARM: <0, 3, 0, 0, 0>	CONFIGMU: 0.424824	DELTA: 0.288877
ARM: <0, 3, 0, 0, 0>	CONFIGMU: 0.424824	DELTA: 0.288877
ARM: <0, 3, 0, 0, 1>	CONFIGMU: 0.467439	DELTA: 0.246262
ARM: <0, 3, 0, 0, 1>	CONFIGMU: 0.467439	DELTA: 0.246262
ARM: <0, 3, 0, 0, 1>	CONFIGMU: 0.467439	DELTA: 0.246262
ARM: <0, 3, 0, 1, 0>	CONFIGMU: 0.565108	DELTA: 0.148593
ARM: <0, 3, 0, 1, 0>	CONFIGMU: 0.565108	DELTA: 0.148593
ARM: <0, 3, 0, 1, 0>	CONFIGMU: 0.565108	DELTA: 0.148593
ARM: <0, 3, 0, 1, 1>	CONFIGMU: 0.713701	DELTA: 0.000000
ARM: <0, 3, 0, 1, 1>	CONFIGMU: 0.713701	DELTA: 0.000000
ARM: <0, 3, 0, 1, 1>	CONFIGMU: 0.713701	DELTA: 0.000000
ARM: <0, 3, 1, 0, 0>	CONFIGMU: 0.409305	DELTA: 0.304396
ARM: <0, 3, 1, 0, 0>	CONFIGMU: 0.409305	DELTA: 0.304396
ARM: <0, 3, 1, 0, 0>	CONFIGMU: 0.409305	DELTA: 0.304396
ARM: <0, 3, 1, 0, 1>	CONFIGMU: 0.451960	DELTA: 0.261741
ARM: <0, 3, 1, 0, 1>	CONFIGMU: 0.451960	DELTA: 0.261741
ARM: <0, 3, 1, 0, 1>	CONFIGMU: 0.451960	DELTA: 0.261741
ARM: <0, 3, 1, 1, 0>	CONFIGMU: 0.544483	DELTA: 0.169218
ARM: <0, 3, 1, 1, 0>	CONFIGMU: 0.544483	DELTA: 0.169218
ARM: <0, 3, 1, 1, 0>	CONFIGMU: 0.544483	DELTA: 0.169218
ARM: <0, 3, 1, 1, 1>	CONFIGMU: 0.688968	DELTA: 0.024733
ARM: <0, 3, 1, 1, 1>	CONFIGMU: 0.688968	DELTA: 0.024733
ARM: <0, 3, 1, 1, 1>	CONFIGMU: 0.688968	DELTA: 0.024733
ARM: <0, 4, 0, 0, 0>	CONFIGMU: 0.391000	DELTA: 0.322701
